Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
logowanie,Chrome 96.0.4664.110,,,2021-12-21 23:09:11,2021-12-21 23:10:26,"1m - 15,248s",FAILED
,,,,,,,
Test Cases/komunikator testy logowanie/L3,Chrome 96.0.4664.110,,,2021-12-21 23:09:12,2021-12-21 23:09:28,"16,128s",FAILED
"openBrowser("""")",Chrome 96.0.4664.110,,,2021-12-21 23:09:12,2021-12-21 23:09:17,"4,146s",PASSED
maximizeWindow(),Chrome 96.0.4664.110,,,2021-12-21 23:09:17,2021-12-21 23:09:17,"0,494s",PASSED
"navigateToUrl(""http://kmg.hcm.pl/testowanie/index.html"")",Chrome 96.0.4664.110,,,2021-12-21 23:09:17,2021-12-21 23:09:24,"6,849s",PASSED
"setText(findTestObject(""Page_PSTO webMessenger/input_Zarejestruj konto_userLogin""), ""ewelinaholderna"")",Chrome 96.0.4664.110,,,2021-12-21 23:09:24,2021-12-21 23:09:25,"0,928s",PASSED
"setEncryptedText(findTestObject(""Page_PSTO webMessenger/input_Zarejestruj konto_passwordLogin""), ""aeHFOx8jV/A="")",Chrome 96.0.4664.110,,,2021-12-21 23:09:25,2021-12-21 23:09:25,"0,652s",PASSED
"scrollToElement(findTestObject(""Page_PSTO webMessenger/input_Zarejestruj konto_login""), 3)",Chrome 96.0.4664.110,,,2021-12-21 23:09:25,2021-12-21 23:09:26,"0,529s",PASSED
"waitForElementClickable(findTestObject(""Page_PSTO webMessenger/input_Zarejestruj konto_login""), 3)",Chrome 96.0.4664.110,,,2021-12-21 23:09:26,2021-12-21 23:09:27,"0,875s",PASSED
"click(findTestObject(""Page_PSTO webMessenger/input_Zarejestruj konto_login""))",Chrome 96.0.4664.110,,,2021-12-21 23:09:27,2021-12-21 23:09:27,"0,607s",PASSED
waitForPageLoad(2),Chrome 96.0.4664.110,,,2021-12-21 23:09:27,2021-12-21 23:09:28,"0,124s",PASSED
tytul = getWindowTitle(),Chrome 96.0.4664.110,,,2021-12-21 23:09:28,2021-12-21 23:09:28,"0,085s",PASSED
"verifyMatch(tytul, "".*Zalogowano"", true)",Chrome 96.0.4664.110,,,2021-12-21 23:09:28,2021-12-21 23:09:28,"0,159s",FAILED
,,,,,,,
Test Cases/komunikator testy logowanie/L4,Chrome 96.0.4664.110,,,2021-12-21 23:09:28,2021-12-21 23:09:37,"8,882s",FAILED
"openBrowser("""")",Chrome 96.0.4664.110,,,2021-12-21 23:09:29,2021-12-21 23:09:32,"3,034s",PASSED
maximizeWindow(),Chrome 96.0.4664.110,,,2021-12-21 23:09:32,2021-12-21 23:09:32,"0,236s",PASSED
"navigateToUrl(""http://kmg.hcm.pl/testowanie/index.html"")",Chrome 96.0.4664.110,,,2021-12-21 23:09:32,2021-12-21 23:09:34,"1,717s",PASSED
"setText(findTestObject(""Page_PSTO webMessenger/input_Zarejestruj konto_userLogin""), ""ewelinaholderna"")",Chrome 96.0.4664.110,,,2021-12-21 23:09:34,2021-12-21 23:09:35,"0,766s",PASSED
"setEncryptedText(findTestObject(""Page_PSTO webMessenger/input_Zarejestruj konto_passwordLogin""), ""zMDjEGXuMr8="")",Chrome 96.0.4664.110,,,2021-12-21 23:09:35,2021-12-21 23:09:35,"0,482s",PASSED
"scrollToElement(findTestObject(""Page_PSTO webMessenger/input_Zarejestruj konto_login""), 3)",Chrome 96.0.4664.110,,,2021-12-21 23:09:35,2021-12-21 23:09:36,"0,382s",PASSED
"waitForElementClickable(findTestObject(""Page_PSTO webMessenger/input_Zarejestruj konto_passwordLogin""), 3)",Chrome 96.0.4664.110,,,2021-12-21 23:09:36,2021-12-21 23:09:36,"0,399s",PASSED
"click(findTestObject(""Page_PSTO webMessenger/input_Zarejestruj konto_login""))",Chrome 96.0.4664.110,,,2021-12-21 23:09:36,2021-12-21 23:09:36,"0,460s",PASSED
alert_text = getAlertText(),Chrome 96.0.4664.110,,,2021-12-21 23:09:36,2021-12-21 23:09:37,"0,340s",FAILED
,,,,,,,
Test Cases/komunikator testy logowanie/L5,Chrome 96.0.4664.110,,,2021-12-21 23:09:37,2021-12-21 23:09:45,"8,458s",FAILED
"openBrowser("""")",Chrome 96.0.4664.110,,,2021-12-21 23:09:37,2021-12-21 23:09:40,"2,857s",PASSED
maximizeWindow(),Chrome 96.0.4664.110,,,2021-12-21 23:09:40,2021-12-21 23:09:41,"0,214s",PASSED
"navigateToUrl(""http://kmg.hcm.pl/testowanie/index.html"")",Chrome 96.0.4664.110,,,2021-12-21 23:09:41,2021-12-21 23:09:43,"1,968s",PASSED
"setText(findTestObject(""Page_PSTO webMessenger/input_Zarejestruj konto_userLogin""), ""ewelinaholderna"")",Chrome 96.0.4664.110,,,2021-12-21 23:09:43,2021-12-21 23:09:43,"0,851s",PASSED
"setText(findTestObject(""Page_PSTO webMessenger/input_Zarejestruj konto_passwordLogin""), """")",Chrome 96.0.4664.110,,,2021-12-21 23:09:43,2021-12-21 23:09:44,"0,795s",PASSED
"click(findTestObject(""Page_PSTO webMessenger/input_Zarejestruj konto_login""))",Chrome 96.0.4664.110,,,2021-12-21 23:09:44,2021-12-21 23:09:45,"0,564s",PASSED
alert_text = getAlertText(),Chrome 96.0.4664.110,,,2021-12-21 23:09:45,2021-12-21 23:09:45,"0,487s",FAILED
,,,,,,,
Test Cases/komunikator testy logowanie/L7,Chrome 96.0.4664.110,,,2021-12-21 23:09:45,2021-12-21 23:09:55,"9,360s",PASSED
"openBrowser("""")",Chrome 96.0.4664.110,,,2021-12-21 23:09:46,2021-12-21 23:09:49,"2,812s",PASSED
"navigateToUrl(""http://kmg.hcm.pl/testowanie/index.html"")",Chrome 96.0.4664.110,,,2021-12-21 23:09:49,2021-12-21 23:09:51,"1,782s",PASSED
"setText(findTestObject(""Page_PSTO webMessenger/input_Zarejestruj konto_userLogin""), ""ewelinaholderna"")",Chrome 96.0.4664.110,,,2021-12-21 23:09:51,2021-12-21 23:09:51,"0,870s",PASSED
"setEncryptedText(findTestObject(""Page_PSTO webMessenger/input_Zarejestruj konto_passwordLogin""), ""aeHFOx8jV/A="")",Chrome 96.0.4664.110,,,2021-12-21 23:09:51,2021-12-21 23:09:52,"0,578s",PASSED
"click(findTestObject(""Page_PSTO webMessenger/input_Zarejestruj konto_login""))",Chrome 96.0.4664.110,,,2021-12-21 23:09:52,2021-12-21 23:09:52,"0,452s",PASSED
"podswietlona_historia_rozmow = getCSSValue(findTestObject(""Page_PSTO webMessenger - Zalogowano/img_Zarejestruj konto_chat""), ""opacity"")",Chrome 96.0.4664.110,,,2021-12-21 23:09:52,2021-12-21 23:09:53,"0,800s",PASSED
"verifyMatch(podswietlona_historia_rozmow, ""1"", true)",Chrome 96.0.4664.110,,,2021-12-21 23:09:53,2021-12-21 23:09:53,"0,003s",PASSED
closeBrowser(),Chrome 96.0.4664.110,,,2021-12-21 23:09:53,2021-12-21 23:09:55,"1,308s",PASSED
,,,,,,,
Test Cases/komunikator testy logowanie/L8,Chrome 96.0.4664.110,,,2021-12-21 23:09:55,2021-12-21 23:10:07,"12,755s",FAILED
"openBrowser("""")",Chrome 96.0.4664.110,,,2021-12-21 23:09:55,2021-12-21 23:09:57,"1,774s",PASSED
"navigateToUrl(""http://kmg.hcm.pl/testowanie/index.html"")",Chrome 96.0.4664.110,,,2021-12-21 23:09:57,2021-12-21 23:10:01,"4,381s",PASSED
"setText(findTestObject(""Page_PSTO webMessenger/input_Zarejestruj konto_userLogin""), ""ewelinaholderna"")",Chrome 96.0.4664.110,,,2021-12-21 23:10:01,2021-12-21 23:10:02,"0,821s",PASSED
