Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
edycja_profilu,Chrome 96.0.4664.110,,,2021-12-21 23:41:19,2021-12-21 23:45:10,"3m - 51,305s",FAILED
,,,,,,,
Test Cases/komunikator testy edycja profilu/PE1,Chrome 96.0.4664.110,,,2021-12-21 23:41:20,2021-12-21 23:41:37,"17,463s",PASSED
"openBrowser("""")",Chrome 96.0.4664.110,,,2021-12-21 23:41:21,2021-12-21 23:41:25,"4,341s",PASSED
maximizeWindow(),Chrome 96.0.4664.110,,,2021-12-21 23:41:25,2021-12-21 23:41:26,"0,760s",PASSED
"navigateToUrl(""http://kmg.hcm.pl/testowanie/index.html"")",Chrome 96.0.4664.110,,,2021-12-21 23:41:26,2021-12-21 23:41:28,"1,739s",PASSED
"setText(findTestObject(""Page_PSTO webMessenger/input_Zarejestruj konto_userLogin""), ""ewelinah"")",Chrome 96.0.4664.110,,,2021-12-21 23:41:28,2021-12-21 23:41:29,"0,926s",PASSED
"setEncryptedText(findTestObject(""Page_PSTO webMessenger/input_Zarejestruj konto_passwordLogin""), ""aeHFOx8jV/A="")",Chrome 96.0.4664.110,,,2021-12-21 23:41:29,2021-12-21 23:41:29,"0,627s",PASSED
"click(findTestObject(""Page_PSTO webMessenger/input_Zarejestruj konto_login""))",Chrome 96.0.4664.110,,,2021-12-21 23:41:29,2021-12-21 23:41:30,"0,479s",PASSED
"click(findTestObject(""Page_PSTO webMessenger - Zalogowano/img_Zarejestruj konto_profile""))",Chrome 96.0.4664.110,,,2021-12-21 23:41:30,2021-12-21 23:41:31,"1,463s",PASSED
"setEncryptedText(findTestObject(""Page_PSTO webMessenger - Zalogowano/input_Zmien haslo_oldPass""), ""aeHFOx8jV/A="")",Chrome 96.0.4664.110,,,2021-12-21 23:41:31,2021-12-21 23:41:32,"0,634s",PASSED
"setEncryptedText(findTestObject(""Page_PSTO webMessenger - Zalogowano/input_Zmien haslo_editPass""), ""qeJ0sjJnwEs="")",Chrome 96.0.4664.110,,,2021-12-21 23:41:32,2021-12-21 23:41:33,"0,979s",PASSED
"setEncryptedText(findTestObject(""Page_PSTO webMessenger - Zalogowano/input_Zmien haslo_editPassRepeat""), ""qeJ0sjJnwEs="")",Chrome 96.0.4664.110,,,2021-12-21 23:41:33,2021-12-21 23:41:33,"0,542s",PASSED
"click(findTestObject(""Page_PSTO webMessenger - Zalogowano/input_Zmien haslo_changePassword""))",Chrome 96.0.4664.110,,,2021-12-21 23:41:33,2021-12-21 23:41:34,"0,462s",PASSED
"verifyElementText(findTestObject(""Page_PSTO webMessenger - Zalogowano/p_Haslo zostalo zmienione""), ""HASŁO ZOSTAŁO ZMIENIONE!"")",Chrome 96.0.4664.110,,,2021-12-21 23:41:34,2021-12-21 23:41:34,"0,583s",PASSED
"setEncryptedText(findTestObject(""Page_PSTO webMessenger - Zalogowano/input_Zmien haslo_oldPass""), ""qeJ0sjJnwEs="")",Chrome 96.0.4664.110,,,2021-12-21 23:41:34,2021-12-21 23:41:35,"0,603s",PASSED
"setEncryptedText(findTestObject(""Page_PSTO webMessenger - Zalogowano/input_Zmien haslo_editPass""), ""aeHFOx8jV/A="")",Chrome 96.0.4664.110,,,2021-12-21 23:41:35,2021-12-21 23:41:35,"0,505s",PASSED
"setEncryptedText(findTestObject(""Page_PSTO webMessenger - Zalogowano/input_Zmien haslo_editPassRepeat""), ""aeHFOx8jV/A="")",Chrome 96.0.4664.110,,,2021-12-21 23:41:35,2021-12-21 23:41:36,"0,473s",PASSED
"click(findTestObject(""Page_PSTO webMessenger - Zalogowano/input_Zmien haslo_changePassword""))",Chrome 96.0.4664.110,,,2021-12-21 23:41:36,2021-12-21 23:41:36,"0,435s",PASSED
closeBrowser(),Chrome 96.0.4664.110,,,2021-12-21 23:41:36,2021-12-21 23:41:37,"1,112s",PASSED
,,,,,,,
Test Cases/komunikator testy edycja profilu/PE2,Chrome 96.0.4664.110,,,2021-12-21 23:41:37,2021-12-21 23:41:51,"13,184s",FAILED
"openBrowser("""")",Chrome 96.0.4664.110,,,2021-12-21 23:41:38,2021-12-21 23:41:40,"1,755s",PASSED
maximizeWindow(),Chrome 96.0.4664.110,,,2021-12-21 23:41:40,2021-12-21 23:41:40,"0,222s",PASSED
"navigateToUrl(""http://kmg.hcm.pl/testowanie/index.html"")",Chrome 96.0.4664.110,,,2021-12-21 23:41:40,2021-12-21 23:41:42,"1,906s",PASSED
"setText(findTestObject(""Page_PSTO webMessenger/input_Zarejestruj konto_userLogin""), ""ewelinah"")",Chrome 96.0.4664.110,,,2021-12-21 23:41:42,2021-12-21 23:41:43,"0,766s",PASSED
"setEncryptedText(findTestObject(""Page_PSTO webMessenger/input_Zarejestruj konto_passwordLogin""), ""aeHFOx8jV/A="")",Chrome 96.0.4664.110,,,2021-12-21 23:41:43,2021-12-21 23:41:43,"0,504s",PASSED
"click(findTestObject(""Page_PSTO webMessenger/input_Zarejestruj konto_login""))",Chrome 96.0.4664.110,,,2021-12-21 23:41:43,2021-12-21 23:41:44,"0,432s",PASSED
"click(findTestObject(""Page_PSTO webMessenger - Zalogowano/img_Zarejestruj konto_profile""))",Chrome 96.0.4664.110,,,2021-12-21 23:41:44,2021-12-21 23:41:45,"0,867s",PASSED
"setEncryptedText(findTestObject(""Page_PSTO webMessenger - Zalogowano/input_Zmien haslo_oldPass""), ""aeHFOx8jV/A="")",Chrome 96.0.4664.110,,,2021-12-21 23:41:45,2021-12-21 23:41:45,"0,694s",PASSED
"setEncryptedText(findTestObject(""Page_PSTO webMessenger - Zalogowano/input_Zmien haslo_editPass""), ""tzH6RvlfSTg="")",Chrome 96.0.4664.110,,,2021-12-21 23:41:45,2021-12-21 23:41:46,"0,548s",PASSED
"setEncryptedText(findTestObject(""Page_PSTO webMessenger - Zalogowano/input_Zmien haslo_editPassRepeat""), ""tzH6RvlfSTg="")",Chrome 96.0.4664.110,,,2021-12-21 23:41:46,2021-12-21 23:41:46,"0,555s",PASSED
"click(findTestObject(""Page_PSTO webMessenger - Zalogowano/input_Zmien haslo_changePassword""))",Chrome 96.0.4664.110,,,2021-12-21 23:41:46,2021-12-21 23:41:47,"0,520s",PASSED
"zmienna1 = getText(findTestObject(""Page_PSTO webMessenger - Zalogowano/p_Haslo zostalo zmienione""), STOP_ON_FAILURE)",Chrome 96.0.4664.110,,,2021-12-21 23:41:47,2021-12-21 23:41:47,"0,646s",PASSED
"verifyNotEqual(zmienna1, ""HASŁO ZOSTAŁO ZMIENIONE!"", CONTINUE_ON_FAILURE)",Chrome 96.0.4664.110,,,2021-12-21 23:41:47,2021-12-21 23:41:48,"0,098s",FAILED
"setEncryptedText(findTestObject(""Page_PSTO webMessenger - Zalogowano/input_Zmien haslo_oldPass""), ""tzH6RvlfSTg="")",Chrome 96.0.4664.110,,,2021-12-21 23:41:48,2021-12-21 23:41:48,"0,554s",PASSED
