Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
edycja_profilu,Firefox 95.0,,,2021-12-21 22:47:23,2021-12-21 22:52:36,"5m - 13,584s",FAILED
,,,,,,,
Test Cases/komunikator testy edycja profilu/PE1,Firefox 95.0,,,2021-12-21 22:47:23,2021-12-21 22:47:42,"18,923s",PASSED
"openBrowser("""")",Firefox 95.0,,,2021-12-21 22:47:24,2021-12-21 22:47:31,"7,128s",PASSED
"navigateToUrl(""http://kmg.hcm.pl/testowanie/index.html"")",Firefox 95.0,,,2021-12-21 22:47:31,2021-12-21 22:47:33,"1,822s",PASSED
"setText(findTestObject(""Page_PSTO webMessenger/input_Zarejestruj konto_userLogin""), ""ewelinah"")",Firefox 95.0,,,2021-12-21 22:47:33,2021-12-21 22:47:34,"0,957s",PASSED
"setEncryptedText(findTestObject(""Page_PSTO webMessenger/input_Zarejestruj konto_passwordLogin""), ""aeHFOx8jV/A="")",Firefox 95.0,,,2021-12-21 22:47:34,2021-12-21 22:47:34,"0,525s",PASSED
"click(findTestObject(""Page_PSTO webMessenger/input_Zarejestruj konto_login""))",Firefox 95.0,,,2021-12-21 22:47:34,2021-12-21 22:47:35,"0,653s",PASSED
"click(findTestObject(""Page_PSTO webMessenger - Zalogowano/img_Zarejestruj konto_profile""))",Firefox 95.0,,,2021-12-21 22:47:35,2021-12-21 22:47:36,"0,822s",PASSED
"setEncryptedText(findTestObject(""Page_PSTO webMessenger - Zalogowano/input_Zmien haslo_oldPass""), ""aeHFOx8jV/A="")",Firefox 95.0,,,2021-12-21 22:47:36,2021-12-21 22:47:36,"0,487s",PASSED
"setEncryptedText(findTestObject(""Page_PSTO webMessenger - Zalogowano/input_Zmien haslo_editPass""), ""qeJ0sjJnwEs="")",Firefox 95.0,,,2021-12-21 22:47:36,2021-12-21 22:47:37,"0,529s",PASSED
"setEncryptedText(findTestObject(""Page_PSTO webMessenger - Zalogowano/input_Zmien haslo_editPassRepeat""), ""qeJ0sjJnwEs="")",Firefox 95.0,,,2021-12-21 22:47:37,2021-12-21 22:47:37,"0,438s",PASSED
"click(findTestObject(""Page_PSTO webMessenger - Zalogowano/input_Zmien haslo_changePassword""))",Firefox 95.0,,,2021-12-21 22:47:37,2021-12-21 22:47:38,"0,964s",PASSED
"verifyElementText(findTestObject(""Page_PSTO webMessenger - Zalogowano/p_Haslo zostalo zmienione""), ""HASŁO ZOSTAŁO ZMIENIONE!"")",Firefox 95.0,,,2021-12-21 22:47:38,2021-12-21 22:47:39,"0,472s",PASSED
"setEncryptedText(findTestObject(""Page_PSTO webMessenger - Zalogowano/input_Zmien haslo_oldPass""), ""qeJ0sjJnwEs="")",Firefox 95.0,,,2021-12-21 22:47:39,2021-12-21 22:47:39,"0,568s",PASSED
"setEncryptedText(findTestObject(""Page_PSTO webMessenger - Zalogowano/input_Zmien haslo_editPass""), ""aeHFOx8jV/A="")",Firefox 95.0,,,2021-12-21 22:47:39,2021-12-21 22:47:40,"0,455s",PASSED
"setEncryptedText(findTestObject(""Page_PSTO webMessenger - Zalogowano/input_Zmien haslo_editPassRepeat""), ""aeHFOx8jV/A="")",Firefox 95.0,,,2021-12-21 22:47:40,2021-12-21 22:47:40,"0,425s",PASSED
"click(findTestObject(""Page_PSTO webMessenger - Zalogowano/input_Zmien haslo_changePassword""))",Firefox 95.0,,,2021-12-21 22:47:40,2021-12-21 22:47:41,"0,606s",PASSED
closeBrowser(),Firefox 95.0,,,2021-12-21 22:47:41,2021-12-21 22:47:42,"1,311s",PASSED
,,,,,,,
Test Cases/komunikator testy edycja profilu/PE10,Firefox 95.0,,,2021-12-21 22:47:42,2021-12-21 22:47:56,"13,871s",FAILED
"openBrowser("""")",Firefox 95.0,,,2021-12-21 22:47:43,2021-12-21 22:47:48,"5,117s",PASSED
"navigateToUrl(""http://kmg.hcm.pl/testowanie/index.html"")",Firefox 95.0,,,2021-12-21 22:47:48,2021-12-21 22:47:50,"1,684s",PASSED
"setText(findTestObject(""Object Repository/Page_PSTO webMessenger/input_Zarejestruj konto_userLogin""), ""ewelinaho"")",Firefox 95.0,,,2021-12-21 22:47:50,2021-12-21 22:47:50,"0,746s",PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_PSTO webMessenger/input_Zarejestruj konto_passwordLogin""), ""aeHFOx8jV/A="")",Firefox 95.0,,,2021-12-21 22:47:50,2021-12-21 22:47:51,"0,464s",PASSED
"click(findTestObject(""Object Repository/Page_PSTO webMessenger/input_Zarejestruj konto_login""))",Firefox 95.0,,,2021-12-21 22:47:51,2021-12-21 22:47:51,"0,660s",PASSED
"click(findTestObject(""Page_PSTO webMessenger - Zalogowano/img_Zarejestruj konto_profile""))",Firefox 95.0,,,2021-12-21 22:47:51,2021-12-21 22:47:52,"0,805s",PASSED
"setText(findTestObject(""Page_PSTO webMessenger - Zalogowano/input_Zmien dane_editSurname""), ""987!+"")",Firefox 95.0,,,2021-12-21 22:47:52,2021-12-21 22:47:53,"0,803s",PASSED
"click(findTestObject(""Object Repository/Page_PSTO webMessenger - Zalogowano/input_Wybierz nowy avatar_editBttn""))",Firefox 95.0,,,2021-12-21 22:47:53,2021-12-21 22:47:54,"0,639s",PASSED
"value_text = getAttribute(findTestObject(""Page_PSTO webMessenger - Zalogowano/input_Zmien dane_editSurname""), ""value"")",Firefox 95.0,,,2021-12-21 22:47:54,2021-12-21 22:47:55,"0,891s",PASSED
"verifyNotEqual(""987!+"", value_text, CONTINUE_ON_FAILURE)",Firefox 95.0,,,2021-12-21 22:47:55,2021-12-21 22:47:55,"0,135s",FAILED
closeBrowser(),Firefox 95.0,,,2021-12-21 22:47:55,2021-12-21 22:47:56,"1,309s",PASSED
,,,,,,,
Test Cases/komunikator testy edycja profilu/PE11,Firefox 95.0,,,2021-12-21 22:47:56,2021-12-21 22:48:09,"13,101s",PASSED
"openBrowser("""")",Firefox 95.0,,,2021-12-21 22:47:57,2021-12-21 22:48:02,"5,052s",PASSED
"navigateToUrl(""http://kmg.hcm.pl/testowanie/index.html"")",Firefox 95.0,,,2021-12-21 22:48:02,2021-12-21 22:48:03,"1,417s",PASSED
"setText(findTestObject(""Object Repository/Page_PSTO webMessenger/input_Zarejestruj konto_userLogin""), ""ewelinaho"")",Firefox 95.0,,,2021-12-21 22:48:03,2021-12-21 22:48:04,"0,755s",PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_PSTO webMessenger/input_Zarejestruj konto_passwordLogin""), ""aeHFOx8jV/A="")",Firefox 95.0,,,2021-12-21 22:48:04,2021-12-21 22:48:04,"0,416s",PASSED
"click(findTestObject(""Object Repository/Page_PSTO webMessenger/input_Zarejestruj konto_login""))",Firefox 95.0,,,2021-12-21 22:48:04,2021-12-21 22:48:05,"0,614s",PASSED
"click(findTestObject(""Page_PSTO webMessenger - Zalogowano/img_Zarejestruj konto_profile""))",Firefox 95.0,,,2021-12-21 22:48:05,2021-12-21 22:48:06,"0,742s",PASSED
"setText(findTestObject(""Page_PSTO webMessenger - Zalogowano/input_Zmien dane_editMail""), ""ewelina.holderna@gmail.com"")",Firefox 95.0,,,2021-12-21 22:48:06,2021-12-21 22:48:07,"0,802s",PASSED
"click(findTestObject(""Object Repository/Page_PSTO webMessenger - Zalogowano/input_Wybierz nowy avatar_editBttn""))",Firefox 95.0,,,2021-12-21 22:48:07,2021-12-21 22:48:07,"0,616s",PASSED
"value_text = getAttribute(findTestObject(""Page_PSTO webMessenger - Zalogowano/input_Zmien dane_editMail""), ""value"")",Firefox 95.0,,,2021-12-21 22:48:07,2021-12-21 22:48:08,"0,544s",PASSED
"verifyMatch(value_text, ""^[\w-\.]+@([\w-]+\.)+[\w-]{2,4}$"", true)",Firefox 95.0,,,2021-12-21 22:48:08,2021-12-21 22:48:08,"0,030s",PASSED
closeBrowser(),Firefox 95.0,,,2021-12-21 22:48:08,2021-12-21 22:48:09,"1,390s",PASSED
,,,,,,,
Test Cases/komunikator testy edycja profilu/PE12,Firefox 95.0,,,2021-12-21 22:48:09,2021-12-21 22:48:24,"15,304s",FAILED
"openBrowser("""")",Firefox 95.0,,,2021-12-21 22:48:10,2021-12-21 22:48:15,"5,155s",PASSED
