Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
logowanie,Chrome 96.0.4664.110,,,2021-12-22 00:31:25,2021-12-22 00:32:41,"1m - 15,316s",PASSED
,,,,,,,
Test Cases/komunikator testy logowanie/L3,Chrome 96.0.4664.110,,,2021-12-22 00:31:26,2021-12-22 00:31:38,"11,873s",PASSED
"openBrowser("""")",Chrome 96.0.4664.110,,,2021-12-22 00:31:27,2021-12-22 00:31:31,"4,087s",PASSED
maximizeWindow(),Chrome 96.0.4664.110,,,2021-12-22 00:31:31,2021-12-22 00:31:31,"0,413s",PASSED
"navigateToUrl(""http://kmg.hcm.pl/testowanie/index.html"")",Chrome 96.0.4664.110,,,2021-12-22 00:31:31,2021-12-22 00:31:33,"1,344s",PASSED
"setText(findTestObject(""Page_PSTO webMessenger/input_Zarejestruj konto_userLogin""), ""ewelinaholderna"")",Chrome 96.0.4664.110,,,2021-12-22 00:31:33,2021-12-22 00:31:34,"1,012s",PASSED
"setEncryptedText(findTestObject(""Page_PSTO webMessenger/input_Zarejestruj konto_passwordLogin""), ""aeHFOx8jV/A="")",Chrome 96.0.4664.110,,,2021-12-22 00:31:34,2021-12-22 00:31:34,"0,583s",PASSED
"scrollToElement(findTestObject(""Page_PSTO webMessenger/input_Zarejestruj konto_login""), 3)",Chrome 96.0.4664.110,,,2021-12-22 00:31:34,2021-12-22 00:31:35,"0,431s",PASSED
"waitForElementClickable(findTestObject(""Page_PSTO webMessenger/input_Zarejestruj konto_login""), 3)",Chrome 96.0.4664.110,,,2021-12-22 00:31:35,2021-12-22 00:31:35,"0,607s",PASSED
"click(findTestObject(""Page_PSTO webMessenger/input_Zarejestruj konto_login""))",Chrome 96.0.4664.110,,,2021-12-22 00:31:35,2021-12-22 00:31:36,"0,531s",PASSED
"podswietlona_historia_rozmow = getCSSValue(findTestObject(""Page_PSTO webMessenger - Zalogowano/img_Zarejestruj konto_chat""), ""opacity"")",Chrome 96.0.4664.110,,,2021-12-22 00:31:36,2021-12-22 00:31:37,"0,847s",PASSED
"verifyMatch(podswietlona_historia_rozmow, ""1"", true)",Chrome 96.0.4664.110,,,2021-12-22 00:31:37,2021-12-22 00:31:37,"0,053s",PASSED
closeBrowser(),Chrome 96.0.4664.110,,,2021-12-22 00:31:37,2021-12-22 00:31:38,"1,126s",PASSED
,,,,,,,
Test Cases/komunikator testy logowanie/L4,Chrome 96.0.4664.110,,,2021-12-22 00:31:38,2021-12-22 00:31:46,"8,434s",PASSED
"openBrowser("""")",Chrome 96.0.4664.110,,,2021-12-22 00:31:38,2021-12-22 00:31:40,"1,714s",PASSED
maximizeWindow(),Chrome 96.0.4664.110,,,2021-12-22 00:31:40,2021-12-22 00:31:40,"0,270s",PASSED
"navigateToUrl(""http://kmg.hcm.pl/testowanie/index.html"")",Chrome 96.0.4664.110,,,2021-12-22 00:31:40,2021-12-22 00:31:42,"1,658s",PASSED
"setText(findTestObject(""Page_PSTO webMessenger/input_Zarejestruj konto_userLogin""), ""ewelinaholderna"")",Chrome 96.0.4664.110,,,2021-12-22 00:31:42,2021-12-22 00:31:43,"0,757s",PASSED
"setEncryptedText(findTestObject(""Page_PSTO webMessenger/input_Zarejestruj konto_passwordLogin""), ""zMDjEGXuMr8="")",Chrome 96.0.4664.110,,,2021-12-22 00:31:43,2021-12-22 00:31:43,"0,479s",PASSED
"scrollToElement(findTestObject(""Page_PSTO webMessenger/input_Zarejestruj konto_login""), 3)",Chrome 96.0.4664.110,,,2021-12-22 00:31:43,2021-12-22 00:31:44,"0,412s",PASSED
"waitForElementClickable(findTestObject(""Page_PSTO webMessenger/input_Zarejestruj konto_passwordLogin""), 3)",Chrome 96.0.4664.110,,,2021-12-22 00:31:44,2021-12-22 00:31:44,"0,403s",PASSED
"click(findTestObject(""Page_PSTO webMessenger/input_Zarejestruj konto_login""))",Chrome 96.0.4664.110,,,2021-12-22 00:31:44,2021-12-22 00:31:45,"0,446s",PASSED
waitForAlert(2),Chrome 96.0.4664.110,,,2021-12-22 00:31:45,2021-12-22 00:31:45,"0,596s",PASSED
alert_text = getAlertText(),Chrome 96.0.4664.110,,,2021-12-22 00:31:45,2021-12-22 00:31:45,"0,036s",PASSED
"verifyEqual(alert_text, ""Podano błędną nazwę użytkownika lub hasło!"")",Chrome 96.0.4664.110,,,2021-12-22 00:31:45,2021-12-22 00:31:45,"0,031s",PASSED
closeBrowser(),Chrome 96.0.4664.110,,,2021-12-22 00:31:45,2021-12-22 00:31:46,"1,080s",PASSED
,,,,,,,
Test Cases/komunikator testy logowanie/L5,Chrome 96.0.4664.110,,,2021-12-22 00:31:46,2021-12-22 00:31:55,"8,178s",PASSED
"openBrowser("""")",Chrome 96.0.4664.110,,,2021-12-22 00:31:47,2021-12-22 00:31:49,"1,818s",PASSED
maximizeWindow(),Chrome 96.0.4664.110,,,2021-12-22 00:31:49,2021-12-22 00:31:49,"0,255s",PASSED
"navigateToUrl(""http://kmg.hcm.pl/testowanie/index.html"")",Chrome 96.0.4664.110,,,2021-12-22 00:31:49,2021-12-22 00:31:51,"1,951s",PASSED
"setText(findTestObject(""Page_PSTO webMessenger/input_Zarejestruj konto_userLogin""), ""ewelinaholderna"")",Chrome 96.0.4664.110,,,2021-12-22 00:31:51,2021-12-22 00:31:52,"0,807s",PASSED
"setText(findTestObject(""Page_PSTO webMessenger/input_Zarejestruj konto_passwordLogin""), """")",Chrome 96.0.4664.110,,,2021-12-22 00:31:52,2021-12-22 00:31:52,"0,747s",PASSED
"click(findTestObject(""Page_PSTO webMessenger/input_Zarejestruj konto_login""))",Chrome 96.0.4664.110,,,2021-12-22 00:31:52,2021-12-22 00:31:53,"0,497s",PASSED
waitForAlert(2),Chrome 96.0.4664.110,,,2021-12-22 00:31:53,2021-12-22 00:31:54,"0,519s",PASSED
alert_text = getAlertText(),Chrome 96.0.4664.110,,,2021-12-22 00:31:54,2021-12-22 00:31:54,"0,010s",PASSED
"verifyEqual(alert_text, ""Podano błędną nazwę użytkownika lub hasło!"")",Chrome 96.0.4664.110,,,2021-12-22 00:31:54,2021-12-22 00:31:54,"0,003s",PASSED
closeBrowser(),Chrome 96.0.4664.110,,,2021-12-22 00:31:54,2021-12-22 00:31:55,"1,021s",PASSED
,,,,,,,
